epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.3619,1.4011,2.22999,1.68372,0.34148,0.19402,0.15933,0.06954,2.34783,3.19031,3.0144,0.000475134,0.000475134,0.000475134
2,103.283,1.56571,2.08704,1.78828,0.54785,0.48022,0.48514,0.25515,1.54501,2.45708,1.98244,0.000942047,0.000942047,0.000942047
3,152.911,1.55098,2.0742,1.76949,0.63882,0.55716,0.63983,0.36521,1.40729,1.64776,1.77718,0.00139953,0.00139953,0.00139953
4,202.411,1.50957,1.93357,1.72242,0.58055,0.45469,0.51516,0.26834,1.67963,1.94224,1.98646,0.00138656,0.00138656,0.00138656
5,251.879,1.40404,1.75301,1.63109,0.7524,0.57745,0.70345,0.41885,1.41203,1.84125,1.75978,0.00137241,0.00137241,0.00137241
6,301.371,1.40523,1.72442,1.62907,0.60251,0.62646,0.66071,0.4036,1.32607,1.5764,1.68771,0.00135826,0.00135826,0.00135826
7,350.859,1.39624,1.70385,1.63186,0.78105,0.64312,0.74198,0.44721,1.37054,1.29463,1.71393,0.00134412,0.00134412,0.00134412
8,400.366,1.33063,1.55815,1.57169,0.66393,0.63513,0.73895,0.45178,1.36087,1.29545,1.70989,0.00132997,0.00132997,0.00132997
9,449.879,1.28686,1.51226,1.5441,0.71192,0.71069,0.76791,0.4664,1.33408,1.21009,1.67107,0.00131582,0.00131582,0.00131582
10,499.357,1.26289,1.45896,1.51777,0.77559,0.67476,0.78063,0.51433,1.20981,1.12169,1.56275,0.00130168,0.00130168,0.00130168
11,548.828,1.26004,1.39633,1.5094,0.84052,0.71098,0.80779,0.51658,1.2044,1.03416,1.55544,0.00128753,0.00128753,0.00128753
12,598.376,1.23236,1.35759,1.50481,0.74604,0.70235,0.78198,0.52289,1.17752,1.09901,1.54569,0.00127338,0.00127338,0.00127338
13,647.991,1.20601,1.32524,1.47442,0.83556,0.69507,0.81896,0.53657,1.18967,1.04681,1.5437,0.00125923,0.00125923,0.00125923
14,697.552,1.14268,1.29099,1.44437,0.7663,0.74902,0.82483,0.54064,1.19445,1.07508,1.51786,0.00124509,0.00124509,0.00124509
15,747.123,1.17042,1.28465,1.46004,0.84311,0.70124,0.81682,0.54796,1.18035,1.03605,1.51724,0.00123094,0.00123094,0.00123094
16,796.625,1.18458,1.25515,1.46379,0.85871,0.70265,0.83711,0.58722,1.07067,0.96812,1.43525,0.00121679,0.00121679,0.00121679
